file_name,ad_number,file_instance_id,sha256,record_status,human_reviewer,updated_at
"2006-0047__8dd9dd9099deb529.annotation.json","2006-0047","8dd9dd9099deb529","7f0e6b098e08dbef51089fc72d0c455573404334ccfc739f233cea1221796b2f","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2006-0077__d5877768ebe69914.annotation.json","2006-0077","d5877768ebe69914","2e031afbc2db5d828ab764e5734565b6335eb99195639b00a775525a10f24fe4","approved","codex-batch1-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2007-0022__cdccd0ff024c4b72.annotation.json","2007-0022","cdccd0ff024c4b72","41b7d43159812410bef9eb92efac154021e165a54a1ecf16ffced541d8151771","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2007-0249__7a239ec5c306fa6d.annotation.json","2007-0249","7a239ec5c306fa6d","de384662f9c0d8fe0d3f6d466dfe0a39585c64dfc0c376b5dab1143b671c2fe7","approved","codex-batch1-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2007-0278__0b6a17dbe6f95907.annotation.json","2007-0278","0b6a17dbe6f95907","d3c6e16e057a27d5ebd5902eff027276eab279e09bbdb98a1ba10aaa39134666","approved","codex-a1|codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2008-0012__f2112ddc18baa008.annotation.json","2008-0012","f2112ddc18baa008","4157266465dcc6d7fb35f27f9afaa097074b3eb9e141261c31d6f48dbd97d401","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2008-0066__843fc74e8a4f44c0.annotation.json","2008-0066","843fc74e8a4f44c0","10367bfcc9e2c0862825030ce2b8da6b72c0adcb443a9c2f4d2a0e107f159496","approved","codex-batch1-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2009-0025__46511578be7115fd.annotation.json","2009-0025","46511578be7115fd","56996ddcd1225c9b920603d0163896ba0e1ddf6e911184e9b5fa08ad6630adfa","approved","codex-a1|codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2009-0141__cb57166de0385f86.annotation.json","2009-0141","cb57166de0385f86","1624388034897bd4f141f113127609641fb87fc1018eef5d5295b855b4067c6c","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2009-0171__6edf8772870b3a19.annotation.json","2009-0171","6edf8772870b3a19","bdb6ce7b56659ce1415ac7f32b3bf91e8ee07a861f57889d7f63ff01751bc27b","approved","codex-batch1-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2010-0164__60596be378420b04.annotation.json","2010-0164","60596be378420b04","bed0680cf00471dbed4eac91ea46058d0baa647349d52e2aaf3bb9f94a6e3693","approved","codex-a2|codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2010-0271__2db3e9f8dfdadc71.annotation.json","2010-0271","2db3e9f8dfdadc71","a10dbf2c0776aefc4dc1610a0a94de752abfa3423cef3e4564767d1640d9bbba","approved","codex-batch1-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2011-0098__ee69a71e72e4a031.annotation.json","2011-0098","ee69a71e72e4a031","c00277b3619369c08579bc4bbf71cd825b6bcf4cd643187eb638782d9f24ea1c","approved","gpt-5.6-source-auditor|codex-batch2-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2011-0112__7a321140308c146d.annotation.json","2011-0112","7a321140308c146d","99cf7e93ed2f24fd06ca3c37eb7468831a8f6cb71a73f3dbdb39eb4e32cc88bd","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
