"ad_number","file_instance_id","file_name","file_sha256","normalized_text_sha256","page_count","logical_version_key"
"2006-0047","8dd9dd9099deb529","2006-0047__AD_2006-0047_1__easa_ad_2006_0047_superseded.pdf","964209f8742cdc0d98b0f8b05dfe0ffd553ba39d21415580d4e7ff95a5ff4887","b4e109bdc5101ff50b68bc6dc9c5ba3c038546a28025e127c836139698edda3a","4","2006-0047|UNCORRECTED"
"2006-0077","d5877768ebe69914","2006-0077__AD_2006-0077_1__easa_ad_2006_0077.pdf","f2f2257c6fdb4893eaee3f660d41da367a26c8a7186a6a7333c372d2a1905389","2436b9690783c9ed9c8e5e6a1a08f7f2f255690ae4d0569909fd8a42ce6cee2e","2","2006-0077|UNCORRECTED"
"2007-0022","cdccd0ff024c4b72","2007-0022__AD_2007-0022_1__easa_ad_2007_0022.pdf","8503b08090394c18183c8a6f3fc882b606e70d073a20d2a1a3368efb36d3314c","b1f9a01d86b5ee68899fe632ddbc7c36701826446672ca55b316c91b89e2b306","2","2007-0022|UNCORRECTED"
"2007-0249","7a239ec5c306fa6d","2007-0249__AD_2007-0249_1__easa_ad_2007_0249.pdf","18185cd18d1593eb0b040e8a65fb4ff60e881622f180b1928af393479bc20f4e","571c086d66dd5d97cd3db058d61e72b8a889c4d231a77c43fea529554bb59202","2","2007-0249|UNCORRECTED"
"2007-0278","0b6a17dbe6f95907","2007-0278__AD_2007-0278_1__easa_ad_2007_0278_Corrected_Superseded.pdf","e62c9e732351450fd652e17b1ab340a2d358aef0a6a724a85a76be7e66836d62","e03cfa29b8d2e765b5bfe66f98971b48982846341bcdc07e982cdf32b830a19c","4","2007-0278|CORRECTED:2007-11-08"
"2008-0012","f2112ddc18baa008","2008-0012__AD_2008-0012_1__easa_ad_2008_0012.pdf","8d4bb02fba9b8f90b2f384d4369b549c564e10cca1944323309fa972ae7a41df","a0480cc451a216e9270e1ec6817925699adbf1bc956f972a9090538679d3faa2","3","2008-0012|UNCORRECTED"
"2008-0066","843fc74e8a4f44c0","2008-0066__AD_2008-0066_1__easa_ad_2008_0066.pdf","38d8906ac3e9ee2bae16dcd13c81d3a8732873de06d24b8188dbd490b2637e74","77f9b447970692a7bb33f2a1d78932922d5fe4c739778b37afdd270f0bd69a4e","2","2008-0066|UNCORRECTED"
"2009-0025","46511578be7115fd","2009-0025__AD_2009-0025_1__easa_ad_2009_0025_Corrected.pdf","9e738087562162dabd117aa81c78b99adc4db1c51c3054c8d0736dbaa89981b8","73e0979c4dc89064a846aa1ac1c89967cafdccfdb7d5fde3306e8144562c2145","3","2009-0025|CORRECTED:2009-02-11"
"2009-0141","cb57166de0385f86","2009-0141__AD_2009-0141_1__easa_ad_2009_0141_superseded.pdf","a0b5849caffa23be317d10930c11e14e88264bcba262f96c986571b71b07c775","e25ca9e1c7ac34ee65ec489a979e53b8ba3cb6f08684456f0f45829d6c0c40ab","8","2009-0141|UNCORRECTED"
"2009-0171","6edf8772870b3a19","2009-0171__AD_2009-0171_1__easa_ad_2009_0171.pdf","09e691494295d6e90abb0d38230ebb14679c4769c4389462ac296f33b856828a","34e979afabb3d33a32e98e0d0ffdf7f15855972e36b033305141f783f3031d41","3","2009-0171|UNCORRECTED"
"2010-0164","60596be378420b04","2010-0164__AD_2010-0164_1__easa_ad_2010_0164.pdf","86b266ac6cf4d180ee273e65c01d59a0c8375a763a278c2f270ce8d4bb639178","8ac32ec037ce20c7dcb2e3dad79761a41e2c0da2a41e139b6cf02dd3423cad70","17","2010-0164|UNCORRECTED"
"2010-0271","2db3e9f8dfdadc71","2010-0271__AD_2010-0271_1__easa_ad_2010_0271.pdf","f4793f605684347cc73dec4f6701b9bb9d60500c3cf1b4a1212efa9c2eb66f82","8d2b79a61c0b9d63b2ceecd1c30273fc5dec98dc4f48d5398402291858450036","2","2010-0271|UNCORRECTED"
"2011-0098","ee69a71e72e4a031","2011-0098__AD_2011-0098_1__easa_ad_2011_0098.pdf","daf011b8adbfcd23d47aac0c15a431c1ad7aa1f75183587f786c280691fff3d2","376b93264fadccf65124613ba26102374f41068602950b1d87ca73d96d0cd9e7","6","2011-0098|UNCORRECTED"
"2011-0112","7a321140308c146d","2011-0112__AD_2011-0112_1__easa_ad_2011_0112.pdf","eed95fe844679ad3a0a5fd00039b4f1228da0e6c4cbf1e506d26c54c0da30d21","a40c21d83474e15836579a0242bb704431b9d12f596db90aa5a3f2b26e2ae929","2","2011-0112|UNCORRECTED"
"2012-0175R2","08a8fc0e2bbbc711","2012-0175R2__AD_2012-0175R2_1__EASA_AD_2012_0175_R2_superseded.pdf","39f7f5de5a6846f202d1e2a36b9e21fcd9028852e2f7fa3131e0ec874bd98ae0","17e9800968d3c9825caca8bf44f6fd7d540b3b956dbf5f0089eaf1306affaa4a","6","2012-0175R2|UNCORRECTED"
"2012-0259","71d534e47740b13c","2012-0259__AD_2012-0259_1__easa_ad_2012_0259.pdf","dcf033fc02d9ff25cd44fb4ae129e9d2d9daa808af2b484c6748e329fa69d151","f9e26085004f12e8bce541399fd0c5f08502216b83d1e3ff489219dd9963dbab","2","2012-0259|UNCORRECTED"
"2013-0011","5f652dd0aa52e54f","2013-0011__AD_2013-0011_1__easa_ad_2013_0011.pdf","43f6b5ed0090e9ad4b974b38523a3eb53c1731b0d52aa54663c63a2d01de5c48","f3145b5a61bf44f3b3c143ff7edbd74e3d7a574af92cac578642e80eb4b85d9b","3","2013-0011|UNCORRECTED"
"2013-0234R2","9a197fbc37092cfe","2013-0234R2__AD_2013-0234R2_1__easa_ad_2013_0234_R2.pdf","229ea53cfbd154f681361497f182ce9e07b353ca8fd9c10e86054e4a6484f416","3e0420a1c466a02b668f3b37d65745ab6ebef1dba465753e8a4f27e5cc729944","5","2013-0234R2|UNCORRECTED"
"2014-0062","58916308a3527d59","2014-0062__AD_2014-0062_1__easa_ad_2014_0062.pdf","7ef7267c79cd35156c742bc7494f80e0dc29f405897eb9a8f708581309434eea","fdcbcdaf2a8412cd3a3ad2f77f97fe1c6bb4ccc75faa340c123b1ca6d2c813d9","2","2014-0062|UNCORRECTED"
"2015-0135R3","ffb267d0dfbcbbd9","2015-0135R3__AD_2015-0135R3_1__EASA_AD_2015_0135_R3.pdf","4991cb05f2dd349934fc0368dedcbf20cd38ed4b817cfe36ceecd30343840048","7d2f1789ca7dcbac8a3dcf6f272ab71e16a3bb433a7d8001a17bf016f271b0aa","8","2015-0135R3|UNCORRECTED"
"2016-0095","7f221fbcf3eea6a5","2016-0095__AD_2016-0095_1__EASA_AD_2016_0095_superseded.pdf","e93a25b42010e906246600076f3424fce90fcb21429416ac3e20e7a6926d2ea0","8c9ca966e5cb5159bb51c03aa27a3dafd5eec1afd3c96681f5b5edf5eac6a9a8","6","2016-0095|UNCORRECTED"
"2016-0175","c13a622de38db424","2016-0175__AD_2016-0175_1__EASA_AD_2016_0175.pdf","c7b752326e99a44bf6d7a24f781a8c8bdad976fb4b5382a57115b88fa9866353","d3b667f5d2f14cb1582a7063d134db877e9558c3ec5922895b38fe0ef5470c59","3","2016-0175|UNCORRECTED"
"2017-0013","67c94127f7b8e53d","2017-0013__AD_2017-0013_1__EASA_AD_2017_0013.pdf","7955fb2beeb7299dc96f3a6830555bf2c241b6cd1a0ec52fd6a300414a0d484d","dd3fc85ef4c15f4c5ab40dd91caa301f0d7946371d289547232100f4c4556f4c","6","2017-0013|UNCORRECTED"
"2018-0108","75144c1f05797c10","2018-0108__AD_2018-0108_1__EASA_AD_2018_0108.pdf","8dc8f8bc2101057504d713f4a45613551e3e6c99367ca3c2936059eab7c785e2","117fb181915db0fefaf12aea4d801118942ed39bcf0043ef70a3897489cd1f4c","2","2018-0108|UNCORRECTED"
"2018-0246","0ffbff521ab9746f","2018-0246__AD_2018-0246_1__EASA_AD_2018_0246.pdf","23a12457cfa740b45c583778e23c85abd9225eb7db58127f30914e6733d3e364","949fedf17cc5f7caa7062817dfce18264bd24b5aec8caafced87f1c7d7d02b14","3","2018-0246|UNCORRECTED"
"2019-0011R2","1949a5e809ac47e1","2019-0011R2__AD_2019-0011R2_2__EASA_AD_2019_0011_R2.pdf","f7c12e93b9823beb48a9a2d36495012f50e5a07384bdcc9eef28a5ca91267544","d39a80a4af8a34da855640a6bb1cc7c451e1d2d5c34795266dd6f10a9dd64572","5","2019-0011R2|UNCORRECTED"
"2019-0183","5577514a19f6917c","2019-0183__AD_2019-0183_1__EASA_AD_2019_0183.pdf","c00f2ba68574cd324b09588bb2ea67f510b806cd5e05fe58146c2bb90b1d0ddd","e460b80b05dcd9c698e9f8d03479cbf1b3923b88cd1b70c74c4810d1101fd54c","2","2019-0183|UNCORRECTED"
"2019-0188","1d1f6357de0f3352","2019-0188__AD_2019-0188_1__EASA_AD_2019_0188.pdf","0ad4199c96e95aa1c46f703a75c10b306fc914be416a84a7a4c5ecf456e318d6","3c417c43e50e3656994d29a18a07371e50d80dd2beec6f19ae1729ec5b2db725","3","2019-0188|UNCORRECTED"
