file,header_id,header_base,manifest_id,hash_match,sha256,verification
2006-0046__AD_2006-0046_1__easa_ad_2006_0046.pdf,2006-0046,2006-0046,2006-0046,True,bbed304394e0cd39271e7c222a438ec010e9cb9f96d8d40514f3784ab7f46fc5,First-page AD header
2006-0047__AD_2006-0047_1__easa_ad_2006_0047_superseded.pdf,2006-0047,2006-0047,2006-0047,True,964209f8742cdc0d98b0f8b05dfe0ffd553ba39d21415580d4e7ff95a5ff4887,First-page AD header
2006-0048__AD_2006-0048_1__easa_ad_2006_0048.pdf,2006-0048,2006-0048,2006-0048,True,879616d00b78814fa2ed63d76d0f0b368e27c51cb7f79cd4f9cc88066050b448,First-page AD header
2006-0049__AD_2006-0049_1__easa_ad_2006_0049.pdf,2006-0049,2006-0049,2006-0049,True,54475d1c6a9ecc2e52c837b82f782c15e6a506abd32a6a66624bc960cacecb48,First-page AD header
2006-0050__AD_2006-0050_1__easa_ad_2006_0050.pdf,2006-0050,2006-0050,2006-0050,True,21dd213727388d26524a3d58881ef610bb13261fd72cc5010a170bd3f5d010d0,First-page AD header
2006-0066__AD_2006-0066_1__easa_ad_2006_0066_superseded.pdf,2006-0066,2006-0066,2006-0066,True,307d5eb3ec1534ba8f091fb04ab85833960e200d5cf36f2dc319fb554ec80a0a,First-page AD header
2006-0069R1__AD_2006-0069R1_1__easa_ad_2006_0069_R1_superseded.pdf,2006-0069R1,2006-0069,2006-0069R1,True,bb78a9e2d6cb8fe8257bee1c6d68202a68426a94c017ce6d31eb43b706026c6d,First-page AD header
2006-0071__AD_2006-0071_1__easa_ad_2006_0071_superseded.pdf,2006-0071,2006-0071,2006-0071,True,cba57b662216bd61a0cb77f41409d1a4e1969ce9ce834ebc93df1e368ff7549e,First-page AD header
2006-0074__AD_2006-0074_1__easa_ad_2006_0074.pdf,2006-0074,2006-0074,2006-0074,True,dbeceacb1c71522fcd0d8d01a8dc6850f491b943d2fb8f67be836232cb05e79a,First-page AD header
2006-0075R2__AD_2006-0075R2_1__easa_ad_2006_0075_R2_superseded.pdf,2006-0075R2,2006-0075,2006-0075R2,True,b78668dfc7046d80cefe70c4c4f647f5487e81749baac0ef3ee804d2c8346a0b,First-page AD header
2006-0076__AD_2006-0076_1__easa_ad_2006_0076.pdf,2006-0076,2006-0076,2006-0076,True,53bc18d9a0a1fa169d98265a2d035eb59557029deda72f612cf4649b4cb01750,First-page AD header
2006-0077__AD_2006-0077_1__easa_ad_2006_0077.pdf,2006-0077,2006-0077,2006-0077,True,f2f2257c6fdb4893eaee3f660d41da367a26c8a7186a6a7333c372d2a1905389,First-page AD header
2006-0107__AD_2006-0107_1__easa_ad_2006_0107_superseded.pdf,2006-0107,2006-0107,2006-0107,True,a63bdd27f5a10b076dd8c02f3751a2c6c96f72e8b2e6a2a1de632fa3e8eeb9e3,First-page AD header
2006-0108__AD_2006-0108_1__easa_ad_2006_0108_superseded.pdf,2006-0108,2006-0108,2006-0108,True,bd75255c21e672134158c877b538dbd96fe0a121020d5fed6a534e0bb6886052,First-page AD header
2006-0111R1__AD_2006-0111R1_1__easa_ad_2006_0111_R1.pdf,2006-0111R1,2006-0111,2006-0111R1,True,790e8b924cfab89ec08a7a070968f966247282878c06dae11b03bc7f4f5a35bc,First-page AD header
2006-0112R1__AD_2006-0112R1_1__easa_ad_2006_0112_R1_superseded.pdf,2006-0112R1,2006-0112,2006-0112R1,True,b1437266ad2f232103b0b405db64c03cf94c9d1a8b0bfd7d59b0626058f114ad,First-page AD header
2006-0122__AD_2006-0122_1__easa_ad_2006_0122.pdf,2006-0122,2006-0122,2006-0122,True,e369a22e095e34a3d99ba141b9380e59a5ef939a22bb3380d0ac77f507444382,First-page AD header
2006-0124__AD_2006-0124_1__easa_ad_2006_0124.pdf,2006-0124,2006-0124,2006-0124,True,ff7fed761e736eb2ba190a3a097af373037dc3f6a56f8a419ad0e3deb87ccd12,First-page AD header
2006-0125__AD_2006-0125_1__easa_ad_2006_0125_Superseded.pdf,2006-0125,2006-0125,2006-0125,True,b3e812bf481d83ecd50f051bc36efd16866de288fb4c0a0b08e3d5cba50729b0,First-page AD header
2006-0129__AD_2006-0129_1__easa_ad_2006_0129_superseded.pdf,2006-0129,2006-0129,2006-0129,True,f73ed7bb4688e1d82f4aea40c797d36296374998575b4aaee13584427e882e45,First-page AD header
2006-0130__AD_2006-0130_1__easa_ad_2006_0130_superseded.pdf,2006-0130,2006-0130,2006-0130,True,12f08e3602988e2014234bf1acaa47fdcdf1a097c1b7c377e6831e9ebc6b80d4,First-page AD header
2006-0135-CN__AD_2006-0135-CN_1__EASA_AD_2006_0135_CN.pdf,2006-0135,2006-0135,2006-0135,True,d4dcf047dcb75d73ae3a09ecd9a9856b2bd939c22a9012ab279a2941516299ba,First-page AD header
2006-0136__AD_2006-0136_1__easa_ad_2006_0136.pdf,2006-0136,2006-0136,2006-0136,True,da5a44a5904dec89b83aa6e723132cd293dc4082caef69447ccdba8493d91694,First-page AD header
2006-0153R2__AD_2006-0153R2_2__easa_ad_2006_0153_R2_superseded.pdf,2006-0153R2,2006-0153,2006-0153R2,True,2399a87d43038400ad9a17708f2d68bccf7c7c49577a24973a091ce5a387c3d7,First-page AD header
2006-0155__AD_2006-0155_1__easa_ad_2006_0155_superseded.pdf,2006-0155,2006-0155,2006-0155,True,489d99fba4625d7294dc513b298f188815049294db5413a62e40bb0f72da82b2,First-page AD header
2006-0158__AD_2006-0158_1__easa_ad_2006_0158_superseded.pdf,2006-0158,2006-0158,2006-0158,True,dad817a48629fe07f54b965bf93e6df7ec278ebd63ca292729db00ba6bbb1750,First-page AD header
2006-0159__AD_2006-0159_1__easa_ad_2006_0159_superseded.pdf,2006-0159,2006-0159,2006-0159,True,e7eba0107aecbbc6a1f2ce0400ea61410bba02dc496cf52733bd262789341931,First-page AD header
2006-0161__AD_2006-0161_1__easa_ad_2006_0161.pdf,2006-0161,2006-0161,2006-0161,True,d0c28c49b8f2c14f0d37c921c0060bc4db79537f507006bc3ed2120b871e4f03,First-page AD header
2006-0162__AD_2006-0162_1__easa_ad_2006_0162_superseded.pdf,2006-0162,2006-0162,2006-0162,True,4afbc375ccb2c8a2a4756f39a19341136134c005ca10e66db2f24fd7dc763f70,First-page AD header
2006-0165__AD_2006-0165_1__easa_ad_2006_0165_superseded.pdf,2006-0165,2006-0165,2006-0165,True,f453cff69bf14fec32730ef1839fb4e1db63cfce15bd0ac9cd42c3d2b6b2f2ed,First-page AD header
2006-0174__AD_2006-0174_2__easa_ad_2006_0174_superseded.pdf,2006-0174,2006-0174,2006-0174,True,42107ad77e4534588b0b359b46b4c6cd4e90120dc593fc3a5754ca2111c43675,First-page AD header
2006-0176__AD_2006-0176_1__easa_ad_2006_0176.pdf,2006-0176,2006-0176,2006-0176,True,40675077165852ca109c0c95011bc05cbe216a6b313ed013a223619a8947058f,First-page AD header
2006-0177__AD_2006-0177_1__easa_ad_2006_0177.pdf,2006-0177,2006-0177,2006-0177,True,fee67607bbdf40097fab67ba76c04e8f1aa0944c2daf207c5f3afa10c486b58f,First-page AD header
2006-0178R1__AD_2006-0178R1_2__easa_ad_2006_0178_R1.pdf,2006-0178R1,2006-0178,2006-0178R1,True,7b907d71543c28f58d10e54624137eb27f9b1a283a6044a6cd59a5f4ae0ced1e,First-page AD header
2006-0179__AD_2006-0179_1__easa_ad_2006_0179.pdf,2006-0179,2006-0179,2006-0179,True,dbeb4d78bd3abeb24de1157d76baf60f37bd4bed51c8501f8f8420c1d475c634,First-page AD header
2006-0184__AD_2006-0184_1__easa_ad_2006_0184_superseded.pdf,2006-0184,2006-0184,2006-0184,True,b517a0fbe5bbc1aa61cc19b839382c010819077943dceca06ccf37f6a69ed0fe,First-page AD header
2006-0187__AD_2006-0187_2__easa_ad_2006_0187_superseded.pdf,2006-0187,2006-0187,2006-0187,True,5ee0e75a346eaf53684de7bbc3d1cc9af8da9f2f0e40398c1b56bd31afbc4ead,First-page AD header
2006-0191__AD_2006-0191_2__easa_ad_2006_0191_superseded.pdf,2006-0191,2006-0191,2006-0191,True,8c0cf6c2214f40794f3cf7b4cfdb5c2efd80865c22f63538ac45c3dd5b300bf9,First-page AD header
2006-0196__AD_2006-0196_1__easa_ad_2006_0196.pdf,2006-0196,2006-0196,2006-0196,True,c6af601628cb1d7c70bd308621682a824e727a3a0da7565d10b8ca126b7cdef6,First-page AD header
2006-0200__AD_2006-0200_1__easa_ad_2006_0200_superseded.pdf,2006-0200,2006-0200,2006-0200,True,6eb7ae11337ae0a8bc7b378defd3d80af0412e2ea421200025ad49371e45bc47,First-page AD header
2006-0201__AD_2006-0201_1__easa_ad_2006_0201_superseded.pdf,2006-0201,2006-0201,2006-0201,True,d26a26c1ac9945a4f473cffabd6ce5504ef29f2eac0a035590520f04c52d1846,First-page AD header
2006-0202__AD_2006-0202_1__easa_ad_2006_0202_superseded.pdf,2006-0202,2006-0202,2006-0202,True,7e93d46937cc7cea5c51b50408c9d36d7c5f39332837548ca387b9543a5caac0,First-page AD header
2006-0203__AD_2006-0203_1__easa_ad_2006_0203_superseded.pdf,2006-0203,2006-0203,2006-0203,True,4642e8125b2d15868cee422fdcba4aca40dbae31d4f15ec4097cf02664f24b45,First-page AD header
2006-0204__AD_2006-0204_1__easa_ad_2006_0204_superseded.pdf,2006-0204,2006-0204,2006-0204,True,0424fb0c9da0ef72c0f0578ffe32d74fba04bcd99dcd55377108c1813cdee0a5,First-page AD header
2006-0205__AD_2006-0205_1__easa_ad_2006_0205_superseded.pdf,2006-0205,2006-0205,2006-0205,True,aeca61cdae1660eb76c0d27d3e1f11c956c53b5a32d8b0b3e38df6c37bc679b2,First-page AD header
