ad_number,file_instance_id,queue_file,human_review_status,record_status,creation_method,requirements,evidence_spans,field_assertions,human_confirmed,gold_record,supersedure_links
2006-0077,d5877768ebe69914,2006-0077__d5877768ebe69914.annotation.json,pending,first_pass_complete,hybrid,1,7,23,false,false,0
2007-0249,7a239ec5c306fa6d,2007-0249__7a239ec5c306fa6d.annotation.json,pending,first_pass_complete,hybrid,1,8,22,false,false,0
2008-0066,843fc74e8a4f44c0,2008-0066__843fc74e8a4f44c0.annotation.json,pending,first_pass_complete,hybrid,4,8,27,false,false,0
2009-0171,6edf8772870b3a19,2009-0171__6edf8772870b3a19.annotation.json,pending,first_pass_complete,hybrid,3,10,26,false,false,0
2010-0271,2db3e9f8dfdadc71,2010-0271__2db3e9f8dfdadc71.annotation.json,pending,first_pass_complete,hybrid,2,8,24,false,false,0
2011-0098,ee69a71e72e4a031,2011-0098__ee69a71e72e4a031.annotation.json,pending,first_pass_complete,hybrid,6,12,26,false,false,0
2012-0259,71d534e47740b13c,2012-0259__71d534e47740b13c.annotation.json,pending,first_pass_complete,hybrid,1,7,22,false,false,0
2013-0011,5f652dd0aa52e54f,2013-0011__5f652dd0aa52e54f.annotation.json,pending,first_pass_complete,hybrid,6,9,27,false,false,0
2016-0175,c13a622de38db424,2016-0175__c13a622de38db424.annotation.json,pending,first_pass_complete,hybrid,2,10,23,false,false,0
2018-0246,0ffbff521ab9746f,2018-0246__0ffbff521ab9746f.annotation.json,pending,first_pass_complete,hybrid,2,10,27,false,false,0
2019-0188,1d1f6357de0f3352,2019-0188__1d1f6357de0f3352.annotation.json,pending,first_pass_complete,hybrid,2,10,25,false,false,0
2020-0016,5c6e21ab23447af0,2020-0016__5c6e21ab23447af0.annotation.json,pending,first_pass_complete,hybrid,3,10,25,false,false,0
2021-0221,8aaaf372db377584,2021-0221__8aaaf372db377584.annotation.json,pending,first_pass_complete,hybrid,8,13,44,false,false,0
2021-0286,a36d7f18af6e7a27,2021-0286__a36d7f18af6e7a27.annotation.json,pending,first_pass_complete,hybrid,3,10,26,false,false,0
2022-0058,772cd84a0961a452,2022-0058__772cd84a0961a452.annotation.json,pending,first_pass_complete,hybrid,12,17,38,false,false,0
2023-0057,e17febf10e432eb9,2023-0057__e17febf10e432eb9.annotation.json,pending,first_pass_complete,hybrid,3,10,25,false,false,0
2024-0001,dc59a5a0114b782d,2024-0001__dc59a5a0114b782d.annotation.json,pending,first_pass_complete,hybrid,4,11,26,false,false,0
2025-0138,5762b029d7edbc0c,2025-0138__5762b029d7edbc0c.annotation.json,pending,first_pass_complete,hybrid,3,10,25,false,false,0
2025-0181,b0e89b78cd668c9e,2025-0181__b0e89b78cd668c9e.annotation.json,pending,first_pass_complete,hybrid,2,14,25,false,false,0
2026-0100,34edf2d1b2e65515,2026-0100__34edf2d1b2e65515.annotation.json,pending,first_pass_complete,hybrid,6,11,30,false,false,0
