ad_number,file_instance_id,working_file,copied_from_queue_sha256,review_status,requirements,evidence_spans
2006-0077,d5877768ebe69914,2006-0077__d5877768ebe69914.annotation.json,a87d49b9af2bce07762e61f06a2c08d8f3895a6a292b902fd6129c9aa7778a5a,approved,1,7
2007-0249,7a239ec5c306fa6d,2007-0249__7a239ec5c306fa6d.annotation.json,95440b66a108f4082eb579cfbf10bfdb41e01ce9ba91eefbe781aeccdda88179,approved,1,8
2008-0066,843fc74e8a4f44c0,2008-0066__843fc74e8a4f44c0.annotation.json,ecea576588489c239b9c2b0c15c91d25405b9ba6dfb1d5d7c1989275e027398a,approved,4,8
2009-0171,6edf8772870b3a19,2009-0171__6edf8772870b3a19.annotation.json,a1de058ff137660cbc016be35fa20fdfddb5f65fabed6566df71a75af0218752,approved,3,10
2010-0271,2db3e9f8dfdadc71,2010-0271__2db3e9f8dfdadc71.annotation.json,4aec3c94fb28ca35c0c071e1aacd66246093ad20b1011c62f26dffdb78a2a28f,approved,2,8
2011-0098,ee69a71e72e4a031,2011-0098__ee69a71e72e4a031.annotation.json,4a5e6f8522b96c13d3a24bb26f9066dcf0c82a506d3d526a7fb721c689b7e922,approved,6,12
2012-0259,71d534e47740b13c,2012-0259__71d534e47740b13c.annotation.json,c16aa6f61c538f47e8a42881c9440e1302aec3763097bb950e1303d8b02958e0,approved,1,7
2013-0011,5f652dd0aa52e54f,2013-0011__5f652dd0aa52e54f.annotation.json,6ca625f48769fb561f51cc38e570df9b16c3e94bc0a8ebed1713efeb92a1f011,approved,6,9
2016-0175,c13a622de38db424,2016-0175__c13a622de38db424.annotation.json,93032c69f99ffee2ee0dc1111e6b275fe3312d523842ef732412ec96671ecac9,approved,2,10
2018-0246,0ffbff521ab9746f,2018-0246__0ffbff521ab9746f.annotation.json,c62b5883199413e53f04dd7e6a8713e62e5dc3fe3a2aa5e2d3201e1c75cb9677,approved,2,10
2019-0188,1d1f6357de0f3352,2019-0188__1d1f6357de0f3352.annotation.json,eae5d0b04eb3530e42c6cbc713518256efea68afdb4c1aa7d1fc67fc1681edbb,approved,2,10
2020-0016,5c6e21ab23447af0,2020-0016__5c6e21ab23447af0.annotation.json,9790bae21b509e93ea3ca82b6000a80d0c9bc2ac070a194e8ce907f3c2889158,approved,3,10
2021-0221,8aaaf372db377584,2021-0221__8aaaf372db377584.annotation.json,3b828bc539d4c34e31236b02e693bed920e43589c943214d0642e473917ff0b9,approved,8,13
2021-0286,a36d7f18af6e7a27,2021-0286__a36d7f18af6e7a27.annotation.json,d937822fcf168d371800dd2f8017464d29cac634923e28c6e617857d27893275,approved,3,10
2022-0058,772cd84a0961a452,2022-0058__772cd84a0961a452.annotation.json,4598b65fdd463209a3569df1bcc216de87644ad0879356ae95966e966788c5f0,approved,12,17
2023-0057,e17febf10e432eb9,2023-0057__e17febf10e432eb9.annotation.json,3928d5db950022232f4fa9b82c14fdd2601a471981fd39ce9b615dea9a678a27,approved,3,10
2024-0001,dc59a5a0114b782d,2024-0001__dc59a5a0114b782d.annotation.json,e0b51fd056e7a23daed3acb3e2bd4bbea5e7ec7b11b5805582f51e6537bcd87d,approved,4,11
2025-0138,5762b029d7edbc0c,2025-0138__5762b029d7edbc0c.annotation.json,37e7cce9a230911c8513738131732b30b1662ab06ea87e97b1891270ecb3521e,approved,3,10
2025-0181,b0e89b78cd668c9e,2025-0181__b0e89b78cd668c9e.annotation.json,864efed36d44b96eba25445297a3a6457285b05f8b9f5ba5d1f8ecbf0cdc5569,approved,2,14
2026-0100,34edf2d1b2e65515,2026-0100__34edf2d1b2e65515.annotation.json,6ba6b817a1a546cfdc7abd69fb8029491ca667f60264e95118d98c6c11b9e7d1,approved,6,11
