ad_number,file_instance_id,file_name,pdf_url,expected_sha256,actual_sha256,expected_page_count,actual_page_count,pdf_bytes,pdf_status,page_text_status,page_text_file,page_text_sha256,extracted_char_count,error,local_pdf
2006-0077,d5877768ebe69914,2006-0077__AD_2006-0077_1__easa_ad_2006_0077.pdf,https://ad.easa.europa.eu/blob/easa_ad_2006_0077.pdf/AD_2006-0077_1,f2f2257c6fdb4893eaee3f660d41da367a26c8a7186a6a7333c372d2a1905389,f2f2257c6fdb4893eaee3f660d41da367a26c8a7186a6a7333c372d2a1905389,2,2,25609,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2006-0077__d5877768ebe69914.pages.jsonl,73da10023ec6e1d8d78baa61c9e01a65320cccb075ebbbd20f358fee9e01dafd,5755,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2006-0077__AD_2006-0077_1__easa_ad_2006_0077.pdf
2007-0249,7a239ec5c306fa6d,2007-0249__AD_2007-0249_1__easa_ad_2007_0249.pdf,https://ad.easa.europa.eu/blob/easa_ad_2007_0249.pdf/AD_2007-0249_1,18185cd18d1593eb0b040e8a65fb4ff60e881622f180b1928af393479bc20f4e,18185cd18d1593eb0b040e8a65fb4ff60e881622f180b1928af393479bc20f4e,2,2,29345,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2007-0249__7a239ec5c306fa6d.pages.jsonl,aaa595135fe8b38cb3af950aab71a6c2f1ffc07945bd55e84772a5e7a0dd772f,5677,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2007-0249__AD_2007-0249_1__easa_ad_2007_0249.pdf
2008-0066,843fc74e8a4f44c0,2008-0066__AD_2008-0066_1__easa_ad_2008_0066.pdf,https://ad.easa.europa.eu/blob/easa_ad_2008_0066.pdf/AD_2008-0066_1,38d8906ac3e9ee2bae16dcd13c81d3a8732873de06d24b8188dbd490b2637e74,38d8906ac3e9ee2bae16dcd13c81d3a8732873de06d24b8188dbd490b2637e74,2,2,29184,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2008-0066__843fc74e8a4f44c0.pages.jsonl,4ba1e3e9ecb70875f7efa3a3459bc03797d97661e44761133ef97ff446f47b66,7939,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2008-0066__AD_2008-0066_1__easa_ad_2008_0066.pdf
2009-0171,6edf8772870b3a19,2009-0171__AD_2009-0171_1__easa_ad_2009_0171.pdf,https://ad.easa.europa.eu/blob/easa_ad_2009_0171.pdf/AD_2009-0171_1,09e691494295d6e90abb0d38230ebb14679c4769c4389462ac296f33b856828a,09e691494295d6e90abb0d38230ebb14679c4769c4389462ac296f33b856828a,3,3,33336,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2009-0171__6edf8772870b3a19.pages.jsonl,97c473356a6f12b223bba8d21e7e8bab58f49698987b0619720b415b2e12fcd9,19376,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2009-0171__AD_2009-0171_1__easa_ad_2009_0171.pdf
2010-0271,2db3e9f8dfdadc71,2010-0271__AD_2010-0271_1__easa_ad_2010_0271.pdf,https://ad.easa.europa.eu/blob/easa_ad_2010_0271.pdf/AD_2010-0271_1,f4793f605684347cc73dec4f6701b9bb9d60500c3cf1b4a1212efa9c2eb66f82,f4793f605684347cc73dec4f6701b9bb9d60500c3cf1b4a1212efa9c2eb66f82,2,2,36703,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2010-0271__2db3e9f8dfdadc71.pages.jsonl,769d80b681ebb5eb10dfc4e6d70ea2c302f5e2a0a6212c86337276217d873eb8,14812,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2010-0271__AD_2010-0271_1__easa_ad_2010_0271.pdf
2011-0098,ee69a71e72e4a031,2011-0098__AD_2011-0098_1__easa_ad_2011_0098.pdf,https://ad.easa.europa.eu/blob/easa_ad_2011_0098.pdf/AD_2011-0098_1,daf011b8adbfcd23d47aac0c15a431c1ad7aa1f75183587f786c280691fff3d2,daf011b8adbfcd23d47aac0c15a431c1ad7aa1f75183587f786c280691fff3d2,6,6,47166,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2011-0098__ee69a71e72e4a031.pages.jsonl,0b8dfeceba2804cfa8ec43c85ca62695fb8b3d06ac01cbbf201285b0905102f3,46640,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2011-0098__AD_2011-0098_1__easa_ad_2011_0098.pdf
2012-0259,71d534e47740b13c,2012-0259__AD_2012-0259_1__easa_ad_2012_0259.pdf,https://ad.easa.europa.eu/blob/easa_ad_2012_0259.pdf/AD_2012-0259_1,dcf033fc02d9ff25cd44fb4ae129e9d2d9daa808af2b484c6748e329fa69d151,dcf033fc02d9ff25cd44fb4ae129e9d2d9daa808af2b484c6748e329fa69d151,2,2,135703,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2012-0259__71d534e47740b13c.pages.jsonl,00a4fe587b3f6af1f901d1b4004a9489929e1c9fadc5854c294f79d875e3ed81,5636,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2012-0259__AD_2012-0259_1__easa_ad_2012_0259.pdf
2013-0011,5f652dd0aa52e54f,2013-0011__AD_2013-0011_1__easa_ad_2013_0011.pdf,https://ad.easa.europa.eu/blob/easa_ad_2013_0011.pdf/AD_2013-0011_1,43f6b5ed0090e9ad4b974b38523a3eb53c1731b0d52aa54663c63a2d01de5c48,43f6b5ed0090e9ad4b974b38523a3eb53c1731b0d52aa54663c63a2d01de5c48,3,3,156053,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2013-0011__5f652dd0aa52e54f.pages.jsonl,c444eec3e8a276325af550fcb8efeb29c72bab17ca2612a04f4f7971ba2adbde,11909,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2013-0011__AD_2013-0011_1__easa_ad_2013_0011.pdf
2016-0175,c13a622de38db424,2016-0175__AD_2016-0175_1__EASA_AD_2016_0175.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2016_0175.pdf/AD_2016-0175_1,c7b752326e99a44bf6d7a24f781a8c8bdad976fb4b5382a57115b88fa9866353,c7b752326e99a44bf6d7a24f781a8c8bdad976fb4b5382a57115b88fa9866353,3,3,394031,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2016-0175__c13a622de38db424.pages.jsonl,2c89e9e26bad3fbe760c2d5d3fe9e5036bc08cf1398c02abc9ee144b1da2337d,7083,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2016-0175__AD_2016-0175_1__EASA_AD_2016_0175.pdf
2018-0246,0ffbff521ab9746f,2018-0246__AD_2018-0246_1__EASA_AD_2018_0246.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2018_0246.pdf/AD_2018-0246_1,23a12457cfa740b45c583778e23c85abd9225eb7db58127f30914e6733d3e364,23a12457cfa740b45c583778e23c85abd9225eb7db58127f30914e6733d3e364,3,3,509537,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/page_text/2018-0246__0ffbff521ab9746f.pages.jsonl,0f60bb6c82e8c11fc98e3503fa750a323350c4f82bcd5f0081bdf5933845c8a4,7509,,/Users/tunwailin/Documents/Capstone/step3_extension_20_v1/source_pdfs/2018-0246__AD_2018-0246_1__EASA_AD_2018_0246.pdf
