ad_number,file_instance_id,status,difference_count,section_agreement,evidence_jaccard
2019-0183,5577514a19f6917c,ready_for_adjudication,28,4/12,0.090909
2020-0085R1,5ced2074d6402f32,ready_for_adjudication,253,0/12,0.037736
2023-0093R1,f8c89a351f146b17,ready_for_adjudication,915,1/12,0.205882
2025-0068,6e80e67e640ba6d1,ready_for_adjudication,432,1/12,0.538462
2026-0017,1f3af1a66dad0ea4,ready_for_adjudication,447,1/12,0.538462
2007-0278,0b6a17dbe6f95907,ready_for_adjudication,168,2/12,0.083333
2009-0025,46511578be7115fd,ready_for_adjudication,101,3/12,0.210526
2010-0164,60596be378420b04,ready_for_adjudication,1849,0/12,0.022222
2016-0095,7f221fbcf3eea6a5,ready_for_adjudication,363,2/12,0.000000
2017-0013,67c94127f7b8e53d,ready_for_adjudication,78,4/12,0.108108
