ad_number,file_instance_id,double_annotation,queue_source,queue_file,human_review_status,strict_gold_status
2019-0011R2,1949a5e809ac47e1,False,machine_reviewed_single_candidate,2019-0011R2__1949a5e809ac47e1.annotation.json,pending,blocked_pending_human_review
2019-0183,5577514a19f6917c,True,machine_adjudicated_candidate,2019-0183__5577514a19f6917c.annotation.json,pending,blocked_pending_human_review
2020-0028,734af537e02af649,False,machine_reviewed_single_candidate,2020-0028__734af537e02af649.annotation.json,pending,blocked_pending_human_review
2020-0085R1,5ced2074d6402f32,True,machine_adjudicated_candidate,2020-0085R1__5ced2074d6402f32.annotation.json,pending,blocked_pending_human_review
2021-0087,9e367bf311641409,False,machine_reviewed_single_candidate,2021-0087__9e367bf311641409.annotation.json,pending,blocked_pending_human_review
2021-0242,3d05d4995d986ef5,False,machine_reviewed_single_candidate,2021-0242__3d05d4995d986ef5.annotation.json,pending,blocked_pending_human_review
2022-0026,2003cabcfcd8976a,False,machine_reviewed_single_candidate,2022-0026__2003cabcfcd8976a.annotation.json,pending,blocked_pending_human_review
2022-0197,2f70e87899358165,False,machine_reviewed_single_candidate,2022-0197__2f70e87899358165.annotation.json,pending,blocked_pending_human_review
2023-0093R1,f8c89a351f146b17,True,machine_adjudicated_candidate,2023-0093R1__f8c89a351f146b17.annotation.json,pending,blocked_pending_human_review
2024-0038,db594c767fc8f98e,False,machine_reviewed_single_candidate,2024-0038__db594c767fc8f98e.annotation.json,pending,blocked_pending_human_review
2024-0095,53e4fefd2d273164,False,annotator_a_first_pass,2024-0095__53e4fefd2d273164.annotation.json,pending,blocked_pending_human_review
2025-0008,b829efee031a2fcf,False,annotator_a_first_pass,2025-0008__b829efee031a2fcf.annotation.json,pending,blocked_pending_human_review
2025-0068,6e80e67e640ba6d1,True,machine_adjudicated_candidate,2025-0068__6e80e67e640ba6d1.annotation.json,pending,blocked_pending_human_review
2026-0017,1f3af1a66dad0ea4,True,machine_adjudicated_candidate,2026-0017__1f3af1a66dad0ea4.annotation.json,pending,blocked_pending_human_review
2026-0079,1f16f3df632283df,False,annotator_a_first_pass,2026-0079__1f16f3df632283df.annotation.json,pending,blocked_pending_human_review
2006-0047,8dd9dd9099deb529,False,annotator_a_first_pass,2006-0047__8dd9dd9099deb529.annotation.json,pending,blocked_pending_human_review
2007-0022,cdccd0ff024c4b72,False,annotator_a_first_pass,2007-0022__cdccd0ff024c4b72.annotation.json,pending,blocked_pending_human_review
2007-0278,0b6a17dbe6f95907,True,machine_adjudicated_candidate,2007-0278__0b6a17dbe6f95907.annotation.json,pending,blocked_pending_human_review
2008-0012,f2112ddc18baa008,False,annotator_a_first_pass,2008-0012__f2112ddc18baa008.annotation.json,pending,blocked_pending_human_review
2009-0025,46511578be7115fd,True,machine_adjudicated_candidate,2009-0025__46511578be7115fd.annotation.json,pending,blocked_pending_human_review
2009-0141,cb57166de0385f86,False,annotator_a_first_pass,2009-0141__cb57166de0385f86.annotation.json,pending,blocked_pending_human_review
2010-0164,60596be378420b04,True,machine_adjudicated_candidate,2010-0164__60596be378420b04.annotation.json,pending,blocked_pending_human_review
2011-0112,7a321140308c146d,False,annotator_a_first_pass,2011-0112__7a321140308c146d.annotation.json,pending,blocked_pending_human_review
2012-0175R2,08a8fc0e2bbbc711,False,annotator_a_first_pass,2012-0175R2__08a8fc0e2bbbc711.annotation.json,pending,blocked_pending_human_review
2013-0234R2,9a197fbc37092cfe,False,annotator_a_first_pass,2013-0234R2__9a197fbc37092cfe.annotation.json,pending,blocked_pending_human_review
2014-0062,58916308a3527d59,False,annotator_a_first_pass,2014-0062__58916308a3527d59.annotation.json,pending,blocked_pending_human_review
2015-0135R3,ffb267d0dfbcbbd9,False,annotator_a_first_pass,2015-0135R3__ffb267d0dfbcbbd9.annotation.json,pending,blocked_pending_human_review
2016-0095,7f221fbcf3eea6a5,True,machine_adjudicated_candidate,2016-0095__7f221fbcf3eea6a5.annotation.json,pending,blocked_pending_human_review
2017-0013,67c94127f7b8e53d,True,machine_adjudicated_candidate,2017-0013__67c94127f7b8e53d.annotation.json,pending,blocked_pending_human_review
2018-0108,75144c1f05797c10,False,annotator_a_first_pass,2018-0108__75144c1f05797c10.annotation.json,pending,blocked_pending_human_review
