ad_number,annotator_a,annotator_b,machine_adjudicator,independent_human_reviewer
2019-0011R2,codex-a1,,,pending
2019-0183,codex-a1,codex-b2,codex-a3,pending
2020-0028,codex-a1,,,pending
2020-0085R1,codex-a1,codex-b2,codex-a3,pending
2021-0087,codex-a1,,,pending
2021-0242,codex-a1,,,pending
2022-0026,codex-a1,,,pending
2022-0197,codex-a1,,,pending
2023-0093R1,codex-a1,codex-b3,codex-a2,pending
2024-0038,codex-a1,,,pending
2024-0095,codex-a2,,,pending
2025-0008,codex-a2,,,pending
2025-0068,codex-a2,codex-b1,codex-a3,pending
2026-0017,codex-a2,codex-b1,codex-a3,pending
2026-0079,codex-a2,,,pending
2006-0047,codex-a2,,,pending
2007-0022,codex-a2,,,pending
2007-0278,codex-a2,codex-b3,codex-a1,pending
2008-0012,codex-a2,,,pending
2009-0025,codex-a2,codex-b3,codex-a1,pending
2009-0141,codex-a3,,,pending
2010-0164,codex-a3,codex-b1,codex-a2,pending
2011-0112,codex-a3,,,pending
2012-0175R2,codex-a3,,,pending
2013-0234R2,codex-a3,,,pending
2014-0062,codex-a3,,,pending
2015-0135R3,codex-a3,,,pending
2016-0095,codex-a3,codex-b1,codex-a2,pending
2017-0013,codex-a3,codex-b2,codex-a1,pending
2018-0108,codex-a3,,,pending
