file_instance_id_a,file_instance_id_b,ad_number_a,ad_number_b,relative_path_a,relative_path_b,text_similarity,suggested_relationship,manually_verified,review_notes
ef74b7370637e852,3c8b13cbaea4fd87,2006-0204,2006-0205,2006-0204__AD_2006-0204_1__easa_ad_2006_0204_superseded.pdf,2006-0205__AD_2006-0205_1__easa_ad_2006_0205_superseded.pdf,0.93422,possible_duplicate_or_reissued_ad,False,
8600d7199fdfdba3,8db8c648697f57be,2006-0332,2006-0333,2006-0332__AD_2006-0332_1__easa_ad_2006_0332.pdf,2006-0333__AD_2006-0333_2__easa_ad_2006_0333.pdf,0.94002,possible_duplicate_or_reissued_ad,False,
107e0644e2f504b6,6fd394b8ec46c350,2013-0023,2014-0103,2013-0023__AD_2013-0023_1__easa_ad_2013_0023_superseded.pdf,2014-0103__AD_2014-0103_1__easa_ad_2014_0103.pdf,0.92584,possible_duplicate_or_reissued_ad,False,
38e2b0f85e35ccd0,537cb9483f347549,2015-0089,2015-0134,2015-0089__AD_2015-0089_1__EASA_AD_2015_0089_superseded.pdf,2015-0134__AD_2015-0134_1__EASA_AD_2015_0134.pdf,0.93872,possible_duplicate_or_reissued_ad,False,
fc74db0189210e76,e84c9711659cdc52,2016-0035R1,2019-0243,2016-0035R1__AD_2016-0035R1_1__EASA_AD_2016_0035_R1_superseded.pdf,2019-0243__AD_2019-0243_1__EASA_AD_2019_0243_superseded.pdf,0.94622,possible_duplicate_or_reissued_ad,False,
7f221fbcf3eea6a5,67c94127f7b8e53d,2016-0095,2017-0013,2016-0095__AD_2016-0095_1__EASA_AD_2016_0095_superseded.pdf,2017-0013__AD_2017-0013_1__EASA_AD_2017_0013.pdf,0.97426,possible_duplicate_or_reissued_ad,False,
eee1872bc8770423,83549cb202e2ee0c,2016-0231,2022-0189,2016-0231__AD_2016-0231_1__EASA_AD_2016_0231_superseded.pdf,2022-0189__AD_2022-0189_1__EASA_AD_2022_0189.pdf,0.97577,possible_duplicate_or_reissued_ad,False,
7d2ac2fbbf233d3c,0078708329b72075,2017-0138,2017-0251,2017-0138__AD_2017-0138_1__EASA_AD_2017_0138_superseded.pdf,2017-0251__AD_2017-0251_1__EASA_AD_2017_0251_superseded.pdf,0.9455,possible_duplicate_or_reissued_ad,False,
e84c9711659cdc52,4aef51837278b16c,2019-0243,2026-0084,2019-0243__AD_2019-0243_1__EASA_AD_2019_0243_superseded.pdf,2026-0084__AD_2026-0084_1__EASA_AD_2026_0084.pdf,0.9264,possible_duplicate_or_reissued_ad,False,
7a2a0163b09abacc,ebd83eb52781b90e,2020-0174,2021-0229,2020-0174__AD_2020-0174_1__EASA_AD_2020_0174_superseded.pdf,2021-0229__AD_2021-0229_1__EASA_AD_2021_0229.pdf,0.98096,possible_duplicate_or_reissued_ad,False,
07a22f3869aa3bfd,1a725e39d63e157c,2022-0096R2,2024-0091R1,2022-0096R2__AD_2022-0096R2_1__EASA_AD_2022_0096_R2_superseded.pdf,2024-0091R1__AD_2024-0091R1_2__EASA_AD_2024_0091R1.pdf,0.93522,possible_duplicate_or_reissued_ad,False,
f125b1c221e9d3ac,bf7b5f763711da83,2023-0212,2024-0217,2023-0212__AD_2023-0212_1__EASA_AD_2023_0212_superseded.pdf,2024-0217__AD_2024-0217_1__EASA_AD_2024_0217.pdf,0.92824,possible_duplicate_or_reissued_ad,False,
9ce9ebe8f9c5c9fa,bbb164d217c1ce72,2024-0027,2024-0230,2024-0027__AD_2024-0027_1__EASA_AD_2024_0027_superseded.pdf,2024-0230__AD_2024-0230_1__EASA_AD_2024_0230.pdf,0.9202,possible_duplicate_or_reissued_ad,False,
db594c767fc8f98e,6e80e67e640ba6d1,2024-0038,2025-0068,2024-0038__AD_2024-0038_1__EASA_AD_2024_0038_superseded.pdf,2025-0068__AD_2025-0068_1__EASA_AD_2025_0068_superseded.pdf,0.96602,possible_duplicate_or_reissued_ad,False,
db594c767fc8f98e,1f3af1a66dad0ea4,2024-0038,2026-0017,2024-0038__AD_2024-0038_1__EASA_AD_2024_0038_superseded.pdf,2026-0017__AD_2026-0017_1__EASA_AD_2026_0017.pdf,0.95868,possible_duplicate_or_reissued_ad,False,
504336317366da36,76568b9b541d5f12,2024-0199,2025-0120,2024-0199__AD_2024-0199_1__EASA_AD_2024_0199_superseded.pdf,2025-0120__AD_2025-0120_1__EASA_AD_2025_0120.pdf,0.94714,possible_duplicate_or_reissued_ad,False,
6e80e67e640ba6d1,1f3af1a66dad0ea4,2025-0068,2026-0017,2025-0068__AD_2025-0068_1__EASA_AD_2025_0068_superseded.pdf,2026-0017__AD_2026-0017_1__EASA_AD_2026_0017.pdf,0.98877,possible_duplicate_or_reissued_ad,False,
