source_ad_number,source_file_instance_id,target_ad_candidate,target_base_ad_number,relationship,evidence,manually_verified
2007-0023,6d1a84db46ccf4e5,2006-0204,2006-0204,supersedes_candidate,Supersedure: This AD supersedes and cancels EASA AD 2006-0204. | This AD supersedes and cancels EASA AD 2006-0204,False
2007-0094R1,d2634930615937f3,2006-0200,2006-0200,supersedes_candidate,"EASA AD 2006-0200 is superseded by this AD | Supersedure: This AD revises EASA AD 2007-0094, which superseded EASA AD 2006-0200.",False
2007-0095R1,f0bda9003de88c1b,2006-0201,2006-0201,supersedes_candidate,"Supersedure: This AD revises EASA AD 2007-0095, which superseded EASA AD 2006-0201.",False
2007-0096R1,ed2fd67f72804773,2006-0202,2006-0202,supersedes_candidate,"Supersedure: This AD revises EASA AD 2007-0096, which superseded EASA AD 2006-0202.",False
2007-0124,fc8bdeb8367b8e32,2006-0377-E,2006-0377,supersedes_candidate,This new AD supersedes the EAD 2006-0377-E and mandates a one time inspection to check the correct tightening torque of the tab nut and bushing assembly as terminating action to the dispatch restriction,False
2007-0133,61d5edfb8933c6ed,2006-0129,2006-0129,supersedes_candidate,"EASA AD 2006-0129, mandating revision 00 of A330 ALS Part 1, is therefore superseded by this AD | EASA AD 2006-0130, mandating revision 00 of A340 ALS Part 1, is therefore superseded by this AD | EASA Emergency AD 2006-0324-E, which is superseded by this AD",False
2007-0133,61d5edfb8933c6ed,2006-0130,2006-0130,supersedes_candidate,"EASA AD 2006-0129, mandating revision 00 of A330 ALS Part 1, is therefore superseded by this AD | EASA AD 2006-0130, mandating revision 00 of A340 ALS Part 1, is therefore superseded by this AD | EASA Emergency AD 2006-0324-E, which is superseded by this AD",False
2007-0133,61d5edfb8933c6ed,2006-0324-E,2006-0324,supersedes_candidate,"EASA AD 2006-0129, mandating revision 00 of A330 ALS Part 1, is therefore superseded by this AD | EASA AD 2006-0130, mandating revision 00 of A340 ALS Part 1, is therefore superseded by this AD | EASA Emergency AD 2006-0324-E, which is superseded by this AD",False
2007-0173,3ce5544043070665,2007-0149,2007-0149,supersedes_candidate,Supersedure: This AD supersedes EASA AD 2007-0149. | This AD supersedes EASA AD 2007-0149 | This new AD cancels and replaces AD 2007-0149 in order to extend the applicability to A300-600 aircraft models A300F4-622R and A300C4-605R/F,False
2007-0195,75ce3c799a081964,2006-0335-E,2006-0335,supersedes_candidate,"Supersedure: This AD supersedes EASA Emergency AD 2006-0335-E | This AD supersedes EASA Emergency AD 2006-0335-E ATA 57 Wings - Main Landing Gear (MLG) Attachment - Inspection Manufacturer(s): AIRBUS (formerly AIRBUS INDUSTRIE) Applicability: AIRBUS aircraft A310, all certified models, all serial numbers except for those where LH and RH wing MLG rib 5 forward lugs have been repaired by installation of oversized interference fit bushes as per Repair drawing R57249121, or which have had AIRBUS Service Bulletin (SB) A310-57-2090 (AIRBUS modification n°13329) embodied in-service | this AD, which cancels and replaces the requirement of EAD 2006-0335-E",False
