base_ad_number,version_order,ad_number,version_label,issue_date,is_emergency,is_correction,correction_date,previous_version,next_version,latest_version,is_latest_version,file_instance_id,relative_path
2006-0046,1,2006-0046,2006-0046,2006-02-16,False,False,,,,2006-0046,True,baaca6e62ed95a28,2006-0046__AD_2006-0046_1__easa_ad_2006_0046.pdf
2006-0047,1,2006-0047,2006-0047,2006-02-16,False,False,,,,2006-0047,True,8dd9dd9099deb529,2006-0047__AD_2006-0047_1__easa_ad_2006_0047_superseded.pdf
2006-0048,1,2006-0048,2006-0048,2006-02-16,False,False,,,,2006-0048,True,a4111eba9f62edec,2006-0048__AD_2006-0048_1__easa_ad_2006_0048.pdf
2006-0049,1,2006-0049,2006-0049,2006-02-17,False,False,,,,2006-0049,True,c85701ac7a74770f,2006-0049__AD_2006-0049_1__easa_ad_2006_0049.pdf
2006-0050,1,2006-0050,2006-0050,2006-02-17,False,False,,,,2006-0050,True,f057ce975eeb909b,2006-0050__AD_2006-0050_1__easa_ad_2006_0050.pdf
2006-0066,1,2006-0066,2006-0066,2006-03-24,False,False,,,,2006-0066,True,5d8e9ea1c22002ff,2006-0066__AD_2006-0066_1__easa_ad_2006_0066_superseded.pdf
2006-0069,1,2006-0069R1,2006-0069R1,2006-04-07,False,False,,,,2006-0069R1,True,44fbd7a945080684,2006-0069R1__AD_2006-0069R1_1__easa_ad_2006_0069_R1_superseded.pdf
2006-0071,1,2006-0071,2006-0071,2006-03-30,False,False,,,,2006-0071,True,a8cb316065af8b6d,2006-0071__AD_2006-0071_1__easa_ad_2006_0071_superseded.pdf
2006-0074,1,2006-0074,2006-0074,2006-04-03,False,False,,,,2006-0074,True,2e0014ccea3f3ccc,2006-0074__AD_2006-0074_1__easa_ad_2006_0074.pdf
2006-0075,1,2006-0075R2,2006-0075R2,2007-01-04,False,False,,,,2006-0075R2,True,0252ec253119aff8,2006-0075R2__AD_2006-0075R2_1__easa_ad_2006_0075_R2_superseded.pdf
2006-0076,1,2006-0076,2006-0076,2006-04-03,False,False,,,,2006-0076,True,cc7fbcb2b779ce66,2006-0076__AD_2006-0076_1__easa_ad_2006_0076.pdf
2006-0077,1,2006-0077,2006-0077,2006-04-03,False,False,,,,2006-0077,True,d5877768ebe69914,2006-0077__AD_2006-0077_1__easa_ad_2006_0077.pdf
2006-0107,1,2006-0107,2006-0107,2006-05-12,False,False,,,,2006-0107,True,2865cb9e4c2193b2,2006-0107__AD_2006-0107_1__easa_ad_2006_0107_superseded.pdf
2006-0108,1,2006-0108,2006-0108,2006-05-03,False,False,,,,2006-0108,True,adfd17bbe3639870,2006-0108__AD_2006-0108_1__easa_ad_2006_0108_superseded.pdf
2006-0111,1,2006-0111R1,2006-0111R1,2009-08-26,False,False,,,,2006-0111R1,True,8511c74c1948957b,2006-0111R1__AD_2006-0111R1_1__easa_ad_2006_0111_R1.pdf
2006-0112,1,2006-0112R1,2006-0112R1,2008-10-17,False,False,,,,2006-0112R1,True,e45a96abc76372b9,2006-0112R1__AD_2006-0112R1_1__easa_ad_2006_0112_R1_superseded.pdf
2006-0122,1,2006-0122,2006-0122,2006-05-16,False,False,,,,2006-0122,True,721d376ebedb17bc,2006-0122__AD_2006-0122_1__easa_ad_2006_0122.pdf
2006-0124,1,2006-0124,2006-0124,2006-05-16,False,False,,,,2006-0124,True,f2047a693d1a9da0,2006-0124__AD_2006-0124_1__easa_ad_2006_0124.pdf
2006-0125,1,2006-0125,2006-0125,2006-05-31,False,False,,,,2006-0125,True,915d39565748f8e6,2006-0125__AD_2006-0125_1__easa_ad_2006_0125_Superseded.pdf
2006-0129,1,2006-0129,2006-0129,2006-05-22,False,False,,,,2006-0129,True,38fabef2e536b8ff,2006-0129__AD_2006-0129_1__easa_ad_2006_0129_superseded.pdf
2006-0130,1,2006-0130,2006-0130,2006-05-22,False,False,,,,2006-0130,True,d9c58cedf2f4ee6e,2006-0130__AD_2006-0130_1__easa_ad_2006_0130_superseded.pdf
2006-0135,1,2006-0135,2006-0135,2022-11-23,False,False,,,,2006-0135,True,a64be17329918ae4,2006-0135-CN__AD_2006-0135-CN_1__EASA_AD_2006_0135_CN.pdf
2006-0136,1,2006-0136,2006-0136,2006-05-22,False,False,,,,2006-0136,True,aab80183be75c350,2006-0136__AD_2006-0136_1__easa_ad_2006_0136.pdf
2006-0153,1,2006-0153R2,2006-0153R2,2007-06-12,False,False,,,,2006-0153R2,True,65e9cb77116acfad,2006-0153R2__AD_2006-0153R2_2__easa_ad_2006_0153_R2_superseded.pdf
2006-0155,1,2006-0155,2006-0155,2006-06-01,False,False,,,,2006-0155,True,e30d5cabe97bc280,2006-0155__AD_2006-0155_1__easa_ad_2006_0155_superseded.pdf
2006-0158,1,2006-0158,2006-0158,2006-06-07,False,False,,,,2006-0158,True,a6ee352bafcda01b,2006-0158__AD_2006-0158_1__easa_ad_2006_0158_superseded.pdf
2006-0159,1,2006-0159,2006-0159,2006-06-07,False,False,,,,2006-0159,True,e6ef0c8f06f83f76,2006-0159__AD_2006-0159_1__easa_ad_2006_0159_superseded.pdf
2006-0161,1,2006-0161,2006-0161,2006-06-08,False,False,,,,2006-0161,True,7098c5a2813a2039,2006-0161__AD_2006-0161_1__easa_ad_2006_0161.pdf
2006-0162,1,2006-0162,2006-0162,2006-06-08,False,False,,,,2006-0162,True,78873d96726a867c,2006-0162__AD_2006-0162_1__easa_ad_2006_0162_superseded.pdf
2006-0165,1,2006-0165,2006-0165,2006-06-13,False,False,,,,2006-0165,True,b7c9aecfb155d2e2,2006-0165__AD_2006-0165_1__easa_ad_2006_0165_superseded.pdf
2006-0174,1,2006-0174,2006-0174,2006-06-21,False,False,,,,2006-0174,True,fb4d92821324dce5,2006-0174__AD_2006-0174_2__easa_ad_2006_0174_superseded.pdf
2006-0176,1,2006-0176,2006-0176,2006-06-26,False,False,,,,2006-0176,True,dd3a551bb986c4e8,2006-0176__AD_2006-0176_1__easa_ad_2006_0176.pdf
2006-0177,1,2006-0177,2006-0177,2006-06-26,False,False,,,,2006-0177,True,8f43a952d519222f,2006-0177__AD_2006-0177_1__easa_ad_2006_0177.pdf
2006-0178,1,2006-0178R1,2006-0178R1,2007-01-04,False,False,,,,2006-0178R1,True,129ddf21d99c0b79,2006-0178R1__AD_2006-0178R1_2__easa_ad_2006_0178_R1.pdf
2006-0179,1,2006-0179,2006-0179,2006-06-26,False,False,,,,2006-0179,True,9075defc61c0ac0e,2006-0179__AD_2006-0179_1__easa_ad_2006_0179.pdf
2006-0184,1,2006-0184,2006-0184,2006-07-03,False,False,,,,2006-0184,True,1b5cfa59edd0604f,2006-0184__AD_2006-0184_1__easa_ad_2006_0184_superseded.pdf
2006-0187,1,2006-0187,2006-0187,2006-07-05,False,False,,,,2006-0187,True,ec8c20ed7b63b8da,2006-0187__AD_2006-0187_2__easa_ad_2006_0187_superseded.pdf
2006-0191,1,2006-0191,2006-0191,2006-07-10,False,False,,,,2006-0191,True,7826a2ea7d26148d,2006-0191__AD_2006-0191_2__easa_ad_2006_0191_superseded.pdf
2006-0196,1,2006-0196,2006-0196,2006-07-10,False,False,,,,2006-0196,True,e7b1495904660d83,2006-0196__AD_2006-0196_1__easa_ad_2006_0196.pdf
2006-0200,1,2006-0200,2006-0200,2006-07-11,False,False,,,,2006-0200,True,9caa3e76bef830e4,2006-0200__AD_2006-0200_1__easa_ad_2006_0200_superseded.pdf
2006-0201,1,2006-0201,2006-0201,2006-07-11,False,False,,,,2006-0201,True,f61c1ace40b41c40,2006-0201__AD_2006-0201_1__easa_ad_2006_0201_superseded.pdf
2006-0202,1,2006-0202,2006-0202,2006-07-11,False,False,,,,2006-0202,True,44d6e4ba1e6cb8dd,2006-0202__AD_2006-0202_1__easa_ad_2006_0202_superseded.pdf
2006-0203,1,2006-0203,2006-0203,2006-07-11,False,False,,,,2006-0203,True,3f06142fece93304,2006-0203__AD_2006-0203_1__easa_ad_2006_0203_superseded.pdf
2006-0204,1,2006-0204,2006-0204,2006-07-11,False,False,,,,2006-0204,True,ef74b7370637e852,2006-0204__AD_2006-0204_1__easa_ad_2006_0204_superseded.pdf
2006-0205,1,2006-0205,2006-0205,2006-07-11,False,False,,,,2006-0205,True,3c8b13cbaea4fd87,2006-0205__AD_2006-0205_1__easa_ad_2006_0205_superseded.pdf
2006-0222,1,2006-0222,2006-0222,2006-07-20,False,False,,,,2006-0222,True,f6c92b5628853bb5,2006-0222__AD_2006-0222_1__easa_ad_2006_0222_superseded.pdf
2006-0223,1,2006-0223,2006-0223,2006-07-21,False,False,,,,2006-0223,True,534a498c16524a91,2006-0223__AD_2006-0223_1__easa_ad_2006_0223_superseded.pdf
2006-0224,1,2006-0224,2006-0224,2006-07-27,False,False,,,,2006-0224,True,44523ca582c19a26,2006-0224__AD_2006-0224_1__easa_ad_2006_0224_superseded.pdf
2006-0225,1,2006-0225,2006-0225,2006-07-21,False,False,,,,2006-0225,True,784ed2179a8055d3,2006-0225__AD_2006-0225_2__easa_ad_2006_0225_superseded.pdf
2006-0232,1,2006-0232,2006-0232,2006-08-07,False,False,,,,2006-0232,True,836bf566f4f8b16c,2006-0232__AD_2006-0232_1__easa_ad_2006_0232.pdf
2006-0236,1,2006-0236R1,2006-0236R1,2007-03-09,False,False,,,,2006-0236R1,True,acf50e5fc21e7c6e,2006-0236R1__AD_2006-0236R1_1__easa_ad_2006_0236_R1.pdf
2006-0257,1,2006-0257,2006-0257,2006-08-24,False,False,,,,2006-0257,True,8fccbd12eb0aeace,2006-0257__AD_2006-0257_1__easa_ad_2006_0257_Superseded.pdf
