ad_number,file_instance_id,file_name,pdf_url,expected_sha256,actual_sha256,expected_page_count,actual_page_count,pdf_bytes,pdf_status,page_text_status,page_text_file,page_text_sha256,extracted_char_count,error,local_pdf
2019-0011R2,1949a5e809ac47e1,2019-0011R2__AD_2019-0011R2_2__EASA_AD_2019_0011_R2.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2019_0011_R2.pdf/AD_2019-0011R2_2,f7c12e93b9823beb48a9a2d36495012f50e5a07384bdcc9eef28a5ca91267544,f7c12e93b9823beb48a9a2d36495012f50e5a07384bdcc9eef28a5ca91267544,5,5,222957,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_pilot/page_text/2019-0011R2__1949a5e809ac47e1.pages.jsonl,9890b1c1f86c4535eb55713c82327f09f3b3304f05bec9f3dc61984901960013,16088,,/Users/tunwailin/Documents/Capstone/step3_pilot/source_pdfs/2019-0011R2__AD_2019-0011R2_2__EASA_AD_2019_0011_R2.pdf
2019-0183,5577514a19f6917c,2019-0183__AD_2019-0183_1__EASA_AD_2019_0183.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2019_0183.pdf/AD_2019-0183_1,c00f2ba68574cd324b09588bb2ea67f510b806cd5e05fe58146c2bb90b1d0ddd,c00f2ba68574cd324b09588bb2ea67f510b806cd5e05fe58146c2bb90b1d0ddd,2,2,507485,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_pilot/page_text/2019-0183__5577514a19f6917c.pages.jsonl,c0e77a4b7fe018f103b7fb1436ec7fa2b9fb60959cde72f8311aca7721ee80dc,6161,,/Users/tunwailin/Documents/Capstone/step3_pilot/source_pdfs/2019-0183__AD_2019-0183_1__EASA_AD_2019_0183.pdf
2020-0028,734af537e02af649,2020-0028__AD_2020-0028_1__EASA_AD_2020_0028.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2020_0028.pdf/AD_2020-0028_1,898bc65f2dd9ecdeea66673cdb5c291036943ebbedd93216bb24ff36622b8e5f,898bc65f2dd9ecdeea66673cdb5c291036943ebbedd93216bb24ff36622b8e5f,2,2,507073,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_pilot/page_text/2020-0028__734af537e02af649.pages.jsonl,07795c1b54e46f058b5d0bbced7e46f1b49646256cd6d1cb011718a3013e5c97,6030,,/Users/tunwailin/Documents/Capstone/step3_pilot/source_pdfs/2020-0028__AD_2020-0028_1__EASA_AD_2020_0028.pdf
2020-0085R1,5ced2074d6402f32,2020-0085R1__AD_2020-0085R1_1__EASA_AD_2020_0085R1.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2020_0085R1.pdf/AD_2020-0085R1_1,31f3f351ee2b02f4ff0636e599e01bbe4e7775c23d5c3298919f5e4327e42e6a,31f3f351ee2b02f4ff0636e599e01bbe4e7775c23d5c3298919f5e4327e42e6a,7,7,236768,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_pilot/page_text/2020-0085R1__5ced2074d6402f32.pages.jsonl,69bc4e4f7daf7d6aa439cd2a862532a6d4a069af767c93002af03e3cefe5d304,22093,,/Users/tunwailin/Documents/Capstone/step3_pilot/source_pdfs/2020-0085R1__AD_2020-0085R1_1__EASA_AD_2020_0085R1.pdf
2021-0087,9e367bf311641409,2021-0087__AD_2021-0087_1__EASA_AD_2021_0087.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2021_0087.pdf/AD_2021-0087_1,bade33627bb01d44b31f286dcbaa512546d5acef8b9e211c08f4986933de2353,bade33627bb01d44b31f286dcbaa512546d5acef8b9e211c08f4986933de2353,2,2,196714,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_pilot/page_text/2021-0087__9e367bf311641409.pages.jsonl,3771df9d85b47ccfde2dd6b19dee2afb2665c5f1b088cbb1f350cbd35dc9d718,6349,,/Users/tunwailin/Documents/Capstone/step3_pilot/source_pdfs/2021-0087__AD_2021-0087_1__EASA_AD_2021_0087.pdf
2021-0242,3d05d4995d986ef5,2021-0242__AD_2021-0242_2__EASA_AD_2021_0242.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2021_0242.pdf/AD_2021-0242_2,eb4fb67e4ae6f63629ff147dd10cca7d29fc5bf6e85db03f3b34c2bed9284a29,eb4fb67e4ae6f63629ff147dd10cca7d29fc5bf6e85db03f3b34c2bed9284a29,6,6,233436,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_pilot/page_text/2021-0242__3d05d4995d986ef5.pages.jsonl,28d792b84aa676bac9ba853a4ee1c7df18dcf5dcdcd69fb43c2d2270433894f6,20428,,/Users/tunwailin/Documents/Capstone/step3_pilot/source_pdfs/2021-0242__AD_2021-0242_2__EASA_AD_2021_0242.pdf
2022-0026,2003cabcfcd8976a,2022-0026__AD_2022-0026_2__EASA_AD_2022_0026_superseded.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2022_0026_superseded.pdf/AD_2022-0026_2,687349d79195bcf420ccb88240a811245b50912233237f488a5fb9f8a7e63587,687349d79195bcf420ccb88240a811245b50912233237f488a5fb9f8a7e63587,12,12,848788,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_pilot/page_text/2022-0026__2003cabcfcd8976a.pages.jsonl,da77b3326c4f1dc0a547c31466c52e800b3484cece9df9566d536984cd085834,38478,,/Users/tunwailin/Documents/Capstone/step3_pilot/source_pdfs/2022-0026__AD_2022-0026_2__EASA_AD_2022_0026_superseded.pdf
2022-0197,2f70e87899358165,2022-0197__AD_2022-0197_1__EASA_AD_2022_0197.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2022_0197.pdf/AD_2022-0197_1,9acac66ae6fc4e84e5db4569a3fb2c57a232c30ff6c67a0300b6666d6f27cf28,9acac66ae6fc4e84e5db4569a3fb2c57a232c30ff6c67a0300b6666d6f27cf28,8,8,233488,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_pilot/page_text/2022-0197__2f70e87899358165.pages.jsonl,e89b27a4c5426cbf24557a0ea153a0d2da601a2474e9324b2bec3c9fd6aaf7ca,27914,,/Users/tunwailin/Documents/Capstone/step3_pilot/source_pdfs/2022-0197__AD_2022-0197_1__EASA_AD_2022_0197.pdf
2023-0093R1,f8c89a351f146b17,2023-0093R1__AD_2023-0093R1_1__EASA_AD_2023_0093_R1.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2023_0093_R1.pdf/AD_2023-0093R1_1,3f8aed562c9e5615a5e3196c95bb970b4cce7831a7b8950ba32a1b0ec6cd2c3e,3f8aed562c9e5615a5e3196c95bb970b4cce7831a7b8950ba32a1b0ec6cd2c3e,7,7,275324,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_pilot/page_text/2023-0093R1__f8c89a351f146b17.pages.jsonl,c4cecaf5e499dc9f0702114d3bdb636ec3bd6e2545b3eef28bb0ab315ad98142,25765,,/Users/tunwailin/Documents/Capstone/step3_pilot/source_pdfs/2023-0093R1__AD_2023-0093R1_1__EASA_AD_2023_0093_R1.pdf
2024-0038,db594c767fc8f98e,2024-0038__AD_2024-0038_1__EASA_AD_2024_0038_superseded.pdf,https://ad.easa.europa.eu/blob/EASA_AD_2024_0038_superseded.pdf/AD_2024-0038_1,fdfe2bd21635319984f5a401e1b41a051e8fc533a64d9f07da5c0d8674549432,fdfe2bd21635319984f5a401e1b41a051e8fc533a64d9f07da5c0d8674549432,10,10,904306,reused_verified,reused_verified,/Users/tunwailin/Documents/Capstone/step3_pilot/page_text/2024-0038__db594c767fc8f98e.pages.jsonl,cd12bb02916ed55767da6f3201cfa88792330a5225d656455d2e8de4f53ddad7,35228,,/Users/tunwailin/Documents/Capstone/step3_pilot/source_pdfs/2024-0038__AD_2024-0038_1__EASA_AD_2024_0038_superseded.pdf
